document_id,file_name,requirement_id,requirement_text,word_count,extraction_confidence,has_modal,has_number,testable_signal,vague_terms_found,incomplete_signals,subjective_terms_found,seed_label,seed_primary_label,human_label,human_primary_label,review_notes,llm_prediction,llm_rationale,llm_source_span,llm_rewrite,llm_confidence,accepted_by_human,alpha_ratio,bad_artifact
5c4a6d88e4,1999 - dii.htm,5c4a6d88e4_R0064,Constraints are conditions about the data that must always be true.,11,high,True,False,False,about,,,ambiguity,ambiguity,,,,,,,,,,0.835820895522388,False
aa7a342a3e,2009 - peazip.pdf,aa7a342a3e_R0074,"Application’s interfaces that support this feature, are file manager interface, create archive interface and extraction interface.",17,medium,False,False,False,support,,,ambiguity,ambiguity,,,,,,,,,,0.8538461538461538,False
705a122293,2002 - evla corr.pdf,705a122293_R0114,"Description Form Factor – The MCCC shall be a high availability type generalpurpose computer capable of supporting multiple Ethernet interfaces,",19,high,True,False,False,multiple; support,,high,ambiguity; non_testability,ambiguity,,,,,,,,,,0.8541666666666666,False
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0150,The system should support selective encryption of the stored data,10,high,True,False,False,support,,,ambiguity,ambiguity,,,,,,,,,,0.8615384615384616,False
50c620f074,2004 - watcom gui.pdf,50c620f074_R0077,The function should create an appropriate control with appropriate styles and other attributes in the requested position.,17,high,True,False,False,appropriate,,,ambiguity,ambiguity,,,,,,,,,,0.859504132231405,False
b96c5eb6b6,2007 - water use.pdf,b96c5eb6b6_R0398,"Requirement Statement Data to support requirements must exist in the database, and be readily available.",15,high,True,False,False,support,,,ambiguity,ambiguity,,,,,,,,,,0.8461538461538461,False
a2c0a924d3,2001 - elsfork.pdf,a2c0a924d3_R0070,"The system shall be robust and reliable, but the system shall not be used for the safe and secure operation of the plant.",23,high,True,False,False,reliable; robust; secure,,robust,ambiguity; non_testability,ambiguity,,,,,,,,,,0.8016528925619835,False
137ef3122c,2005 - nenios.html,137ef3122c_R0102,The software allow for discounting enrollment for parent referral and multiple child attendance.,13,medium,False,False,False,multiple,,low,ambiguity; non_testability,ambiguity,,,,,,,,,,0.8645833333333334,False
502e30223d,2001 - hats.pdf,502e30223d_R0302,The HATS-GUI shall make these data sets available for viewing and/or saving as permanent files in the application.,20,high,True,False,False,and/or,and/or,,ambiguity; incompleteness,ambiguity,,,,,,,,,,0.8245614035087719,False
925171e62a,2008 - viper.doc,925171e62a_R0430,Also the system shall be designed in an Object Oriented approach so that future features can be easily integrated with the system.,22,high,True,False,False,easily,,easily,ambiguity; non_testability,ambiguity,,,,,,,,,,0.8307692307692308,False
7e9463c544,2007 - nde.pdf,7e9463c544_R0400,G:The contractor shall develop and implement procedures to control operational product quality by supporting any quality control of NDE output,21,high,True,False,False,support,,,ambiguity,ambiguity,,,,,,,,,,0.8591549295774648,False
cec50ac98a,2005 - clarus low.pdf,cec50ac98a_R0565,The Clarus program shall provide setup support.,7,high,True,False,False,support,,,ambiguity,ambiguity,,,,,,,,,,0.851063829787234,False
63478ef7e0,2001 - ctc network.pdf,63478ef7e0_R0031,The Center shall provide the following information status information about each CCTV:,12,high,True,False,True,about,trailing_colon,low,ambiguity; incompleteness,ambiguity,,,,,,,,,,0.8604651162790697,False
5293a14ed2,2007 - get real 0.2.pdf,5293a14ed2_R0072,5.1 Performance Requirements The Get Real site should be hosted on a server that can provide adequate response time.,20,high,True,True,True,adequate,,adequate,ambiguity,ambiguity,,,,,,,,,,0.8103448275862069,False
3af482f591,1999 - multi-mahjong.html,3af482f591_R0073,Whether it must support a CO.,6,high,True,False,False,support,,,ambiguity,ambiguity,,,,,,,,,,0.7931034482758621,False
aab06bbb66,2003 - qheadache.pdf,aab06bbb66_R0061,It must run with all the operating systems that Qt supports.,11,high,True,False,False,support,,,ambiguity,ambiguity,,,,,,,,,,0.8166666666666667,False
d0268483f8,2008 - vub.pdf,d0268483f8_R0218,"no pointers to deleted records, no redundant information, etc The database must be capable to handle serveral requests at once, these requests happen by using SQL-statements.",27,high,True,False,False,etc,etc,,ambiguity; incompleteness,ambiguity,,,,,,,,,,0.8275862068965517,False
348c2b1f7d,2007 - puget sound.pdf,348c2b1f7d_R0069,Audio Recording The system must be able to capture and organize voice clips that can be used where appropriate.,19,high,True,False,False,appropriate,,where appropriate,ambiguity; non_testability,ambiguity,,,,,,,,,,0.8288288288288288,False
220065c6fd,2005 - microcare.pdf,220065c6fd_R0167,"Assumptions The user should enter correct Voucher No The user will not alter any information about treatment, which is populating from the system",23,high,True,False,False,about,,,ambiguity,ambiguity,,,,,,,,,,0.8413793103448276,False
5c9aabb311,2006 - eirene sys 15.pdf,5c9aabb311_R0218,Facilities shall be provided to support a list of stored names/numbers of up to a minimum of 100 entries.,20,high,True,True,True,support,,,ambiguity,ambiguity,,,,,,,,,,0.780952380952381,False
54e08b6406,2009 - library.doc,54e08b6406_R0041,"User rights and privileges will be controlled through security groups and/or “roles” that allow access control for individuals, workgroups, and arbitrary staff groups.",24,medium,False,False,False,and/or,and/or; compound_requirement,low,ambiguity; incompleteness; non_testability,ambiguity,,,,,,,,,,0.8323353293413174,False
