document_id,file_name,requirement_id,requirement_text,word_count,extraction_confidence,has_modal,has_number,testable_signal,vague_terms_found,incomplete_signals,subjective_terms_found,seed_label,seed_primary_label,human_label,human_primary_label,review_notes,llm_prediction,llm_rationale,llm_source_span,llm_rewrite,llm_confidence,accepted_by_human,alpha_ratio,bad_artifact,good_curated
63478ef7e0,2001 - ctc network.pdf,63478ef7e0_R0047,"Next Transition Time To support HOV Lane control in other centers, the Center shall be able to support the following device control command for a HOV Lane:",27,high,True,False,False,support,trailing_colon,low,ambiguity; incompleteness; non_testability,ambiguity,,,,,,,,,,0.8193548387096774,False,True
7f161d6979,2005 - znix.pdf,7f161d6979_R0038,2.3 User Characteristics The browser GUI SHOULD be designed such that even casual users could easily manipulate their information with little or no training.,25,high,True,True,True,easily,,easily,ambiguity,ambiguity,,,,,,,,,,0.8280254777070064,False,True
96da2d3305,2007 - central trading system.pdf,96da2d3305_R0009,"When new requirements should be supported, they can modify the program to make it fit.",15,high,True,False,False,support,,,ambiguity,ambiguity,,,,,,,,,,0.813953488372093,False,True
bc8c78f934,2010 - mashboot.pdf,bc8c78f934_R0150,A member should be able to store authentication for supported services,11,high,True,False,False,support,,,ambiguity,ambiguity,,,,,,,,,,0.8571428571428571,False,True
1aab4b911a,2004 - colorcast.pdf,1aab4b911a_R0096,"Most important, the store of access permissions to administrative features and access permissions must be secure.",16,high,True,False,False,secure,,,ambiguity,ambiguity,,,,,,,,,,0.8495575221238938,False,True
02085a94bf,2008 - caiso.pdf,02085a94bf_R0019,Adequate transmission capacity shall be available to connect the Black Start facility to the source providing station services to other specified generating stations.,23,high,True,False,False,adequate,,adequate,ambiguity; non_testability,ambiguity,,,,,,,,,,0.8614457831325302,False,True
a2c0a924d3,2001 - elsfork.pdf,a2c0a924d3_R0298,"The system shall allow for several protocols and procedures simultaneously on the same network, e.g.",16,high,True,False,False,several,,low,ambiguity; non_testability,ambiguity,,,,,,,,,,0.83,False,True
74a1aafc90,2007 - ertms.pdf,74a1aafc90_R0074,The system for Train Data Entry shall provide for the input of other data required by STMs connected to ETCS.,20,high,True,False,False,etc,etc,,ambiguity; incompleteness,ambiguity,,,,,,,,,,0.8165137614678899,False,True
54e08b6406,2009 - library.doc,54e08b6406_R0060,System must be able to support the reporting definitions as described in Appendix A.,14,high,True,False,False,support,,,ambiguity,ambiguity,,,,,,,,,,0.8333333333333334,False,True
940102af70,0000 - gamma j.pdf,940102af70_R0190,The system shall be easily updatable for fixes and patches.,10,high,True,False,False,easily,,easily,ambiguity; non_testability,ambiguity,,,,,,,,,,0.8305084745762712,False,True
aa7a342a3e,2009 - peazip.pdf,aa7a342a3e_R0100,chose a selection of users’ favorite archiving and compression formats to be offered for quick selection and which format should be used as default in create archive interface.,28,high,True,False,False,quick,,quick,ambiguity; non_testability,ambiguity,,,,,,,,,,0.8352272727272727,False,True
77c0a3eb3e,2010 - split merge.pdf,77c0a3eb3e_R0167,In case of error it should provide users with appropriate help messages.,12,high,True,False,False,appropriate,,,ambiguity,ambiguity,,,,,,,,,,0.8333333333333334,False,True
3712be5ebe,2007 - eirene fun 7.pdf,3712be5ebe_R0721,"when direct mode is used as a fall-back, an audible and visual indication shall be provided of normal mobile telephony services returning.",23,high,True,False,False,normal,,,ambiguity,ambiguity,,,,,,,,,,0.8260869565217391,False,True
2dff23407b,2010 - blit draft.pdf,2dff23407b_R0073,The Development Team shall utilize established open source frameworks instead of proprietary custom components wherever appropriate.,16,high,True,False,False,appropriate,,,ambiguity,ambiguity,,,,,,,,,,0.8787878787878788,False,True
a038f2404d,2004 - grid bgc.pdf,a038f2404d_R0130,"Not all Object types shall support templates, see specific object details for more details.",14,high,True,False,False,support,,,ambiguity,ambiguity,,,,,,,,,,0.8351648351648352,False,True
58c3b15e9f,2009 - library.pdf,58c3b15e9f_R0015,"Specifically, the system must support a library system with 50 locations, 20 million circulations, purchasing and processing over 500,000 items per year.",23,high,True,True,True,support,,,ambiguity,ambiguity,,,,,,,,,,0.7647058823529411,False,True
7342470c8d,2009 - model manager.pdf,7342470c8d_R0083,"If 'yes', user must specify what output, e.g., member and/or ensemble output is to be send to the MetVault.",21,high,True,False,False,and/or,and/or,,ambiguity; incompleteness,ambiguity,,,,,,,,,,0.7476635514018691,False,True
cd311b5e67,2009 - email.pdf,cd311b5e67_R0007,The service shall be designed to meet the needs of all executive branch agencies and reduce the current cost of operation and support.,23,high,True,False,False,support,,,ambiguity,ambiguity,,,,,,,,,,0.8283582089552238,False,True
3a111cfea5,2005 - clarus high.doc,3a111cfea5_R0086,system design must address how best to minimize these times to,11,high,True,False,False,best,,,ambiguity,ambiguity,,,,,,,,,,0.8387096774193549,False,True
b3fdf25c0f,2000 - nasa x38.doc,b3fdf25c0f_R0311,"If transmission status indicates an error in telemetry and/or remote commanding operations 10 consecutive times, the following actions shall",20,high,True,True,True,and/or,and/or,low,ambiguity; incompleteness,ambiguity,,,,,,,,,,0.8428571428571429,False,True
348c2b1f7d,2007 - puget sound.pdf,348c2b1f7d_R0138,"The system should be configurable from a single source at a central administrative position, and should provide a central, easy-to-use interface that will allow administrators to configure the user interface and features in a way that reduces page clutter.",41,high,True,False,False,easy,,easy; low,ambiguity; non_testability,ambiguity,,,,,,,,,,0.83203125,False,True
5293a14ed2,2007 - get real 0.2.pdf,5293a14ed2_R0072,5.1 Performance Requirements The Get Real site should be hosted on a server that can provide adequate response time.,20,high,True,True,True,adequate,,adequate,ambiguity,ambiguity,,,,,,,,,,0.8103448275862069,False,True
0440128d89,2005 - grid 3D.pdf,0440128d89_R0104,The response to a change in the orientation should be fast enough to avoid interrupting the user's flow of thought.,21,high,True,False,False,fast,,fast; low,ambiguity; non_testability,ambiguity,,,,,,,,,,0.8173913043478261,False,True
0755ccba83,2001 - telescope.pdf,0755ccba83_R0128,"In addition, the HK rate should be optimized to help ensure that a HK packet can reasonably appear in the S/C frame at an acceptable rate.",27,high,True,False,False,acceptable,,acceptable,ambiguity; non_testability,ambiguity,,,,,,,,,,0.7971014492753623,False,True
d0268483f8,2008 - vub.pdf,d0268483f8_R0176,The PMS should be easily installable by using:,8,high,True,False,False,easily,trailing_colon,easily,ambiguity; incompleteness; non_testability,ambiguity,,,,,,,,,,0.8260869565217391,False,True
d5a72dc87e,2002 - sce api.pdf,d5a72dc87e_R0389,"Note that because ANSI C does not support default argument values, the last SceMiEC *ec argument to each function must be explicitly passed when called, even if only to pass a NULL.",32,high,True,False,True,support,,,ambiguity,ambiguity,,,,,,,,,,0.8066298342541437,False,True
710fbbd28b,2001 - npac.doc,710fbbd28b_R1455,A transaction rate of 2 CMIP transactions (sustained) per second shall be supported by each SOA to NPAC SMS interface association.,21,high,True,True,True,support,,,ambiguity,ambiguity,,,,,,,,,,0.8153846153846154,False,True
8dff9ec7f1,2003 - tachonet.pdf,8dff9ec7f1_R0048,Description The system should be able to support other types of message structure to cover f.i.,17,high,True,False,False,support,,,ambiguity,ambiguity,,,,,,,,,,0.8210526315789474,False,True
7dfd402cda,2001 - esa.pdf,7dfd402cda_R0071,SwRI shall provide software support for the APAF system.,9,high,True,False,False,support,,,ambiguity,ambiguity,,,,,,,,,,0.8392857142857143,False,True
cf286cdcad,2004 - sprat.pdf,cf286cdcad_R0154,The system shall support a hierarchical representation of organizational structures.,10,high,True,False,False,support,,,ambiguity,ambiguity,,,,,,,,,,0.8809523809523809,False,True
0dd4cc7d02,2008 - virtual ed.doc,0dd4cc7d02_R0133,"file would put the user about their disk space quota, a window should",13,high,True,False,False,about,,,ambiguity,ambiguity,,,,,,,,,,0.8115942028985508,False,True
502e30223d,2001 - hats.pdf,502e30223d_R0151,"The Host OS shall support a hierarchical, tree-structured file system.",11,high,True,False,False,support,,,ambiguity,ambiguity,,,,,,,,,,0.8285714285714286,False,True
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0038,"If a user performs a quick or advanced search, the System must never include in the search result list any record which the user does not have the right to access.",31,high,True,False,False,quick,,quick,ambiguity; non_testability,ambiguity,,,,,,,,,,0.803680981595092,False,True
