sample_id,requirement_id,source_file,requirement_excerpt,gold_label,explainable_screen_label,flat_rule_screen_label,explanation_cue,suggested_reviewer_action
S01,940102af70_R0190,0000 - gamma j.pdf,The system shall be easily updatable for fixes and patches.,ambiguity,ambiguity,ambiguity,vague adverb 'easily',Define measurable update criteria
S02,77c0a3eb3e_R0167,2010 - split merge.pdf,In case of error it should provide users with appropriate help messages.,ambiguity,ambiguity,ambiguity,subjective term 'appropriate',Specify help content per error class
S03,02085a94bf_R0019,2008 - caiso.pdf,Adequate transmission capacity shall be available to connect the Black Start facility to ...,ambiguity,ambiguity,ambiguity,unquantified 'adequate',Set a numeric capacity threshold
S04,1aab4b911a_R0096,2004 - colorcast.pdf,... of access permissions to administrative features and access permissions must be secure.,ambiguity,ambiguity,ambiguity,unbounded quality term 'secure',Reference concrete security controls
S05,0440128d89_R0104,2005 - grid 3D.pdf,The response to a change in the orientation should be fast enough to avoid interrupting the ...,ambiguity,ambiguity,ambiguity,vague bound 'fast enough',Quantify maximum response latency
S06,940102af70_R0123,0000 - gamma j.pdf,The interface must remain consistent among various web browsers and be intuitive to the customer.,ambiguity,ambiguity,ambiguity,subjective term 'intuitive',Define usability acceptance criteria
S07,63478ef7e0_R0047,2001 - ctc network.pdf,... the Center shall be able to support the following device control command for a HOV Lane:,incompleteness,incompleteness,incompleteness,trailing colon; command list missing,Recover list from source document
S08,d0268483f8_R0176,2008 - vub.pdf,The PMS should be easily installable by using:,incompleteness,incompleteness,incompleteness,trailing colon (also vague 'easily'),Complete installation-method list
S09,2dff23407b_R0070,2010 - blit draft.pdf,... to a Client Services email distribution list if the user is directed to the xxx error page.,incompleteness,incompleteness,incompleteness,placeholder 'xxx',Replace placeholder with target page
S10,acd39aad8f_R0128,0000 - cctns.pdf,Unplanned downtime for the System must not exceed <xx hours/minutes> per,incompleteness,incompleteness,incompleteness,unfilled field '<xx hours/minutes>',Fill threshold and period
S11,b3fdf25c0f_R0311,2000 - nasa x38.doc,"... and/or remote commanding operations 10 consecutive times, the following actions shall",incompleteness,incompleteness,clean,sentence ends mid-clause,Recover the missing action list
S12,5404d8a4d4_R0057,2001 - libra.doc,"Should provide at least a basic level of job accounting, to aid in",incompleteness,incompleteness,incompleteness,ends at 'to aid in' boundary,Complete purpose; name the actor
S13,69f4f47b18_R0283,2003 - pnnl.pdf,The configuration window shall display the following non-modifiable information:,incompleteness,incompleteness,incompleteness,list introduction without list,Attach the referenced item list
S14,d9e6063902_R0050,2004 - rlcs.pdf,"Should one of these gates be lowered across an otherwise open entrance, the results could be catastrophic.",non_testability,non_testability,non_testability,no verifiable behavior; hazard prose,Rewrite as testable interlock requirement
S15,e63551dcc3_R0098,2009 - video search.pdf,Sorting results should take less than 0.1 seconds.,clean,clean,clean,measurable threshold (0.1 s),Accept; verify with performance test
S16,348c2b1f7d_R0146,2007 - puget sound.pdf,"The system should be available 24 hours a day, 7 days a week.",clean,clean,clean,explicit availability window,Accept; add uptime tolerance if needed
S17,deb4b8a723_R0146,2007 - mdot.pdf,"The DUAP System shall allow a system administrator to add, modify and delete user access rights.",clean,clean,non_testability,observable admin actions; flat rule over-flags,Accept; no rewrite needed
S18,710fbbd28b_R1455,2001 - npac.doc,A transaction rate of 2 CMIP transactions (sustained) per second shall be supported by each ...,clean,clean,clean,quantified sustained rate,Accept; verify in load test
S19,cf286cdcad_R0189,2004 - sprat.pdf,"The system shall generate an access log for every add, delete and edit action in the system.",clean,clean,clean,enumerated auditable events,Accept; verify via log inspection
S20,63762168d3_R0242,1998 - themas.pdf,3.1.5.1.3 Processing The THEMAS system shall maintain the ON/OFF status of each heating and cooling unit.,clean,clean,clean,observable state maintenance,Accept; no rewrite needed
