file_name,requirement_id_1,text_1,requirement_id_2,text_2,similarity,signal
2006 - eirene sys 15.pdf,5c9aabb311_R0099,"The duration of each tone (see 3.8.2 and 3.8.4) added in the voice channel, shall be 70ms",5c9aabb311_R0336,"The duration of each tone (see 8.3.2 and 8.3.4) added in the voice channel, shall be 70ms",1.0,number_mismatch
2007 - puget sound.pdf,348c2b1f7d_R0022,3.4.1 An actor must be able to search through pages in a course.,348c2b1f7d_R0097,An actor must be able to search through pages in a course.,1.0,number_mismatch
2007 - eirene fun 7.pdf,3712be5ebe_R0401,6.2.3.14 A standard data interface should be provided to allow a computer to be connected to the radio.,3712be5ebe_R0488,7.2.3.14 A standard data interface should be provided to allow a computer to be connected to the radio.,1.0,number_mismatch
2007 - ertms.pdf,74a1aafc90_R0040,"Trains equipped for ERTMS/ETCS application level 3 shall be able to run on lines equipped with ERTMS/ETCS application level 3, 2, 1 and",74a1aafc90_R0041,"0, trains equipped for ERTMS/ETCS application level 2 shall be able to run on lines equipped with ERTMS/ETCS application level 2, 1 and",1.0,number_mismatch
2001 - hats.pdf,502e30223d_R0404,[SRSreq 142] The HATS-GUI shall provide the user the capability to search the text display for text sub-strings.,502e30223d_R0420,[SRSreq 148] The HATS-GUI shall provide the user the capability to search the text display for text sub-strings.,1.0,number_mismatch
2007 - eirene fun 7.pdf,3712be5ebe_R0397,"6.2.3.11 Where a change of functional number is required, it shall be possible for the user to initiate the change.",3712be5ebe_R0484,"7.2.3.11 Where a change of functional number is required, it shall be possible for the user to initiate the change.",1.0,number_mismatch
2007 - puget sound.pdf,348c2b1f7d_R0018,3.2.3 The system must store audio clips in a format conducive to speech.,348c2b1f7d_R0083,The system must store audio clips in a format conducive to speech.,1.0,number_mismatch
2007 - puget sound.pdf,348c2b1f7d_R0029,3.6.2 The system must provide a blog engine.,348c2b1f7d_R0126,The system must provide a blog engine.,1.0,number_mismatch
2007 - puget sound.pdf,348c2b1f7d_R0031,"4.1.1 As far as possible, the system should provide a simple, responsive interface.",348c2b1f7d_R0136,"As far as possible, the system should provide a simple, responsive interface.",1.0,number_mismatch
2007 - puget sound.pdf,348c2b1f7d_R0033,"4.2.2 The system should be available 24 hours a day, 7 days a week.",348c2b1f7d_R0146,"The system should be available 24 hours a day, 7 days a week.",1.0,number_mismatch
2004 - rlcs.pdf,d9e6063902_R0225,"3.2.4.5.2 The system shall will also, for each control unit in the system, produce a table of the returned ‘one-way hash function’ (Message Digest) values, of each of the ‘Control Unit Non-Volatile Memory’ items.",d9e6063902_R0441,"The system shall will also, for each control unit in the system, produce a table of the returned ‘one-way hash function’ (Message Digest) values, of each of the ‘Control Unit Non-Volatile Memory’ items.",1.0,number_mismatch
2007 - puget sound.pdf,348c2b1f7d_R0017,3.2.2 The system must allow actors to download their voice clips in a flexible format.,348c2b1f7d_R0080,The system must allow actors to download their voice clips in a flexible format.,1.0,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0674,"3.11.1 Functionality The TCS data latency shall not be greater than that present in the Predator ground control station or Outrider ground control station, whichever is smaller.",cac3ac0306_R0869,"SSS409 The TCS data latency shall not be greater than that present in the Predator ground control station or Outrider ground control station, whichever is smaller.",0.9882,number_mismatch
